timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685467500000,1771685467500000,96,0,0,0,2
1771685467748000,1771685467748000,96,0,0,0,2
1771685467956000,1771685467956000,96,0,0,0,2
1771685468204000,1771685468204000,96,0,0,0,2
1771685468460000,1771685468460000,96,0,0,0,2
1771685468708000,1771685468708000,96,0,0,0,2
1771685468916000,1771685468916000,96,0,0,0,2
1771685469164000,1771685469164000,96,0,0,0,2
1771685469412000,1771685469412000,96,0,0,0,2
1771685469668000,1771685469668000,96,0,0,0,2
1771685469876000,1771685469876000,96,0,0,0,2
1771685470124000,1771685470124000,96,0,0,0,2
1771685470372000,1771685470372000,96,0,0,0,2
1771685470620000,1771685470620000,96,0,0,0,2
1771685470828000,1771685470828000,96,0,0,0,2
1771685471084000,1771685471084000,96,0,0,0,2
1771685471332000,1771685471332000,96,0,0,0,2
1771685471580000,1771685471580000,96,0,0,0,2
1771685471828000,1771685471828000,96,0,0,0,2
1771685472036000,1771685472036000,96,0,0,0,2
1771685472292000,1771685472292000,96,0,0,0,2
1771685472540000,1771685472540000,96,0,0,0,2
1771685472788000,1771685472788000,96,0,0,0,2
1771685472996000,1771685472996000,96,0,0,0,2
1771685473244000,1771685473244000,96,0,0,0,2
1771685473500000,1771685473500000,96,0,0,0,2
1771685473748000,1771685473748000,96,0,0,0,2
1771685473956000,1771685473956000,96,0,0,0,2
1771685474204000,1771685474204000,96,0,0,0,2
1771685474452000,1771685474452000,96,0,0,0,2
1771685474708000,1771685474708000,96,0,0,0,2
1771685474916000,1771685474916000,96,0,0,0,2
1771685475164000,1771685475164000,96,0,0,0,2
1771685475412000,1771685475412000,96,0,0,0,2
1771685475660000,1771685475660000,96,0,0,0,2
1771685475868000,1771685475868000,96,0,0,0,2
1771685476124000,1771685476124000,96,0,0,0,2
1771685476372000,1771685476372000,96,0,0,0,2
1771685476620000,1771685476620000,96,0,0,0,2
1771685476868000,1771685476868000,96,0,0,0,2
1771685477076000,1771685477076000,96,0,0,0,2
1771685477332000,1771685477332000,96,0,0,0,2
1771685477580000,1771685477580000,96,0,0,0,2
1771685477828000,1771685477828000,96,0,0,0,2
1771685478036000,1771685478036000,96,0,0,0,2
1771685478284000,1771685478284000,96,0,0,0,2
1771685478540000,1771685478540000,96,0,0,0,2
1771685478788000,1771685478788000,96,0,0,0,2
1771685478996000,1771685478996000,96,0,0,0,2
1771685479244000,1771685479244000,96,0,0,0,2
1771685479492000,1771685479492000,96,0,0,0,2
1771685479748000,1771685479748000,96,0,0,0,2
1771685479956000,1771685479956000,96,0,0,0,2
1771685480204000,1771685480204000,96,0,0,0,2
1771685480452000,1771685480452000,96,0,0,0,2
1771685480700000,1771685480700000,96,0,0,0,2
1771685480908000,1771685480908000,96,0,0,0,2
1771685481164000,1771685481164000,96,0,0,0,2
1771685481412000,1771685481412000,96,0,0,0,2
1771685481660000,1771685481660000,96,0,0,0,2
1771685481908000,1771685481908000,96,0,0,0,2
1771685482116000,1771685482116000,96,0,0,0,2
1771685482372000,1771685482372000,96,0,0,0,2
1771685482620000,1771685482620000,96,0,0,0,2
1771685482868000,1771685482868000,96,0,0,0,2
1771685483076000,1771685483076000,96,0,0,0,2
1771685483324000,1771685483324000,96,0,0,0,2
1771685483580000,1771685483580000,96,0,0,0,2
1771685483828000,1771685483828000,96,0,0,0,2
1771685484036000,1771685484036000,96,0,0,0,2
1771685484284000,1771685484284000,96,0,0,0,2
1771685484532000,1771685484532000,96,0,0,0,2
1771685484788000,1771685484788000,96,0,0,0,2
1771685484996000,1771685484996000,96,0,0,0,2
1771685485244000,1771685485244000,96,0,0,0,2
1771685485492000,1771685485492000,96,0,0,0,2
1771685485740000,1771685485740000,96,0,0,0,2
1771685485948000,1771685485948000,96,0,0,0,2
1771685486204000,1771685486204000,96,0,0,0,2
1771685486452000,1771685486452000,96,0,0,0,2
1771685486700000,1771685486700000,96,0,0,0,2
1771685486948000,1771685486948000,96,0,0,0,2
1771685487156000,1771685487156000,96,0,0,0,2
1771685487412000,1771685487412000,96,0,0,0,2
1771685487660000,1771685487660000,96,0,0,0,2
1771685487908000,1771685487908000,96,0,0,0,2
1771685488116000,1771685488116000,96,0,0,0,2
1771685488364000,1771685488364000,96,0,0,0,2
1771685488620000,1771685488620000,96,0,0,0,2
1771685488868000,1771685488868000,96,0,0,0,2
1771685489076000,1771685489076000,96,0,0,0,2
1771685489324000,1771685489324000,96,0,0,0,2
